>>11:41:13 : выставлено : Нет связи с транспортным модулем
>>11:41:20 : снято : Нет связи с транспортным модулем
>>11:41:27 : выставлено : Нет связи с транспортным модулем
>>11:41:28 : снято : Нет связи с транспортным модулем
>>11:41:32 : выставлено : Нет связи с транспортным модулем
>>11:41:49 : снято : Нет связи с транспортным модулем
>>11:41:52 : выставлено : Нет связи с транспортным модулем
>>11:41:55 : снято : Нет связи с транспортным модулем
>>11:41:57 : выставлено : Нет связи с транспортным модулем
>>11:42:06 : снято : Нет связи с транспортным модулем
>>11:42:08 : выставлено : Нет связи с транспортным модулем
>>11:42:14 : снято : Нет связи с транспортным модулем
>>11:42:16 : выставлено : Нет связи с транспортным модулем
>>11:42:19 : снято : Нет связи с транспортным модулем
>>11:42:21 : выставлено : Нет связи с транспортным модулем
>>11:42:22 : снято : Нет связи с транспортным модулем
>>11:42:24 : выставлено : Нет связи с транспортным модулем
>>11:42:26 : снято : Нет связи с транспортным модулем
>>11:42:28 : выставлено : Нет связи с транспортным модулем
>>11:42:37 : снято : Нет связи с транспортным модулем
>>11:42:39 : выставлено : Нет связи с транспортным модулем
>>11:42:48 : снято : Нет связи с транспортным модулем
>>11:42:50 : выставлено : Нет связи с транспортным модулем
>>11:42:54 : снято : Нет связи с транспортным модулем
>>11:42:55 : выставлено : Нет связи с транспортным модулем
>>11:43:07 : снято : Нет связи с транспортным модулем
>>11:43:10 : выставлено : Нет связи с транспортным модулем
>>11:43:19 : снято : Нет связи с транспортным модулем
>>11:43:23 : выставлено : Нет связи с транспортным модулем
