>>12:32:01 : снято : Нет связи с транспортным модулем
>>12:32:03 : выставлено : Нет связи с транспортным модулем
>>12:32:04 : снято : Нет связи с транспортным модулем
>>12:32:07 : выставлено : Нет связи с транспортным модулем
>>12:32:10 : снято : Нет связи с транспортным модулем
>>12:32:12 : выставлено : Нет связи с транспортным модулем
>>12:32:22 : снято : Нет связи с транспортным модулем
>>12:32:24 : выставлено : Нет связи с транспортным модулем
>>12:32:29 : снято : Нет связи с транспортным модулем
>>12:32:40 : выставлено : Нет связи с транспортным модулем
>>12:32:40 : снято : Нет связи с транспортным модулем
>>12:32:48 : выставлено : Нет связи с транспортным модулем
>>12:32:49 : снято : Нет связи с транспортным модулем
>>12:32:58 : выставлено : Нет связи с транспортным модулем
>>12:32:59 : снято : Нет связи с транспортным модулем
>>12:33:14 : выставлено : Нет связи с транспортным модулем
>>12:33:14 : снято : Нет связи с транспортным модулем
>>12:33:20 : выставлено : Нет связи с транспортным модулем
>>12:33:21 : снято : Нет связи с транспортным модулем
>>12:33:22 : выставлено : Нет связи с транспортным модулем
>>12:33:23 : снято : Нет связи с транспортным модулем
>>12:33:25 : выставлено : Нет связи с транспортным модулем
>>12:33:37 : снято : Нет связи с транспортным модулем
>>12:33:41 : выставлено : Нет связи с транспортным модулем
>>12:33:48 : снято : Нет связи с транспортным модулем
>>12:33:50 : выставлено : Нет связи с транспортным модулем
>>12:33:56 : снято : Нет связи с транспортным модулем
>>12:33:58 : выставлено : Нет связи с транспортным модулем
>>12:34:06 : снято : Нет связи с транспортным модулем
>>12:34:08 : выставлено : Нет связи с транспортным модулем
>>12:34:15 : снято : Нет связи с транспортным модулем
>>12:34:18 : выставлено : Нет связи с транспортным модулем
>>12:34:23 : снято : Нет связи с транспортным модулем
>>12:34:29 : выставлено : Нет связи с транспортным модулем
>>12:34:47 : снято : Нет связи с транспортным модулем
>>12:34:50 : выставлено : Нет связи с транспортным модулем
>>12:35:31 : снято : Нет связи с транспортным модулем
>>12:35:37 : выставлено : Нет связи с транспортным модулем
>>12:35:48 : снято : Нет связи с транспортным модулем
>>12:35:50 : выставлено : Нет связи с транспортным модулем
>>12:35:56 : снято : Нет связи с транспортным модулем
>>12:35:58 : выставлено : Нет связи с транспортным модулем
>>12:36:01 : снято : Нет связи с транспортным модулем
>>12:36:06 : выставлено : Нет связи с транспортным модулем
>>12:36:09 : снято : Нет связи с транспортным модулем
>>12:36:11 : выставлено : Нет связи с транспортным модулем
>>12:36:13 : снято : Нет связи с транспортным модулем
>>12:36:16 : выставлено : Нет связи с транспортным модулем
>>12:36:18 : снято : Нет связи с транспортным модулем
>>12:36:20 : выставлено : Нет связи с транспортным модулем
>>12:36:22 : снято : Нет связи с транспортным модулем
