>>12:59:39 : снято : Нет связи с БПМ
>>12:59:41 : выставлено : Нет связи с БПМ
>>13:01:03 : снято : Нет связи с БПМ
>>13:01:05 : выставлено : Нет связи с БПМ
>>13:02:27 : снято : Нет связи с БПМ
>>13:02:28 : выставлено : Нет связи с БПМ
>>13:03:51 : снято : Нет связи с БПМ
>>13:03:53 : выставлено : Нет связи с БПМ
>>13:05:14 : снято : Нет связи с БПМ
>>13:05:16 : выставлено : Нет связи с БПМ
>>13:06:38 : снято : Нет связи с БПМ
>>13:06:40 : выставлено : Нет связи с БПМ
>>13:08:02 : снято : Нет связи с БПМ
>>13:08:04 : выставлено : Нет связи с БПМ
>>13:10:19 : выставлено : Нет охлаждения магнетрона
>>13:10:19 : выставлено : Нет охлаждения ТМН
>>13:10:19 : выставлено : Нет охлаждения шлюза
>>13:10:19 : выставлено : Нет давления в пневмосети
>>13:10:19 : выставлено : ТМН: предупреждение по температуре
>>13:10:19 : выставлено : Авария привода вращения магнетрона
>>13:10:19 : выставлено : Авария привода вращения п/д
>>13:10:19 : выставлено : Авария привода поворота заслонки
>>13:10:19 : выставлено : Авария привода манипулятора
>>13:10:19 : выставлено : Авария привода подъёма п/д
>>13:10:20 : снято : Нет давления в пневмосети
>>13:10:20 : снято : ТМН: предупреждение по температуре
>>13:10:20 : снято : Авария привода вращения магнетрона
>>13:10:20 : снято : Авария привода вращения п/д
>>13:10:20 : снято : Авария привода поворота заслонки
>>13:10:20 : снято : Авария привода манипулятора
>>13:10:20 : снято : Авария привода подъёма п/д
>>13:10:22 : выставлено : Нет связи с БПМ
>>13:10:25 : выставлено : Нет охлаждения магнетрона
>>13:10:25 : выставлено : Нет охлаждения ТМН
>>13:10:25 : выставлено : Нет охлаждения шлюза
>>13:10:25 : выставлено : Нет давления в пневмосети
>>13:10:25 : выставлено : ТМН: предупреждение по температуре
>>13:10:25 : выставлено : Авария привода вращения магнетрона
>>13:10:25 : выставлено : Авария привода вращения п/д
>>13:10:25 : выставлено : Авария привода поворота заслонки
>>13:10:25 : выставлено : Авария привода манипулятора
>>13:10:25 : выставлено : Авария привода подъёма п/д
>>13:10:26 : снято : Нет давления в пневмосети
>>13:10:26 : снято : ТМН: предупреждение по температуре
>>13:10:26 : снято : Авария привода вращения магнетрона
>>13:10:26 : снято : Авария привода вращения п/д
>>13:10:26 : снято : Авария привода поворота заслонки
>>13:10:26 : снято : Авария привода манипулятора
>>13:10:26 : снято : Авария привода подъёма п/д
>>13:10:32 : выставлено : Нет охлаждения магнетрона
>>13:10:32 : выставлено : Нет охлаждения ТМН
>>13:10:32 : выставлено : Нет охлаждения шлюза
>>13:10:32 : выставлено : Нет давления в пневмосети
>>13:10:32 : выставлено : ТМН: предупреждение по температуре
>>13:10:32 : выставлено : Авария привода вращения магнетрона
>>13:10:32 : выставлено : Авария привода вращения п/д
>>13:10:32 : выставлено : Авария привода поворота заслонки
>>13:10:32 : выставлено : Авария привода манипулятора
>>13:10:32 : выставлено : Авария привода подъёма п/д
>>13:10:32 : снято : Нет давления в пневмосети
>>13:10:32 : снято : ТМН: предупреждение по температуре
>>13:10:32 : снято : Авария привода вращения магнетрона
>>13:10:32 : снято : Авария привода вращения п/д
>>13:10:32 : снято : Авария привода поворота заслонки
>>13:10:32 : снято : Авария привода манипулятора
>>13:10:32 : снято : Авария привода подъёма п/д
>>13:10:34 : выставлено : Нет связи с БПМ
>>13:11:56 : снято : Нет связи с БПМ
