>>10:29:04 : выставлено : Нет связи с транспортным модулем
>>10:29:05 : снято : Нет связи с транспортным модулем
>>10:29:07 : выставлено : Нет связи с транспортным модулем
>>10:29:07 : снято : Нет связи с транспортным модулем
>>10:29:09 : выставлено : Нет связи с транспортным модулем
>>10:29:10 : снято : Нет связи с транспортным модулем
>>10:29:16 : выставлено : Нет связи с транспортным модулем
>>10:29:17 : снято : Нет связи с транспортным модулем
>>10:29:19 : выставлено : Нет связи с транспортным модулем
>>10:29:19 : снято : Нет связи с транспортным модулем
>>10:29:21 : выставлено : Нет связи с транспортным модулем
>>10:29:22 : снято : Нет связи с транспортным модулем
>>10:29:25 : выставлено : Нет связи с транспортным модулем
>>10:29:26 : снято : Нет связи с транспортным модулем
>>10:29:27 : выставлено : Нет связи с транспортным модулем
>>10:29:27 : снято : Нет связи с транспортным модулем
>>10:29:30 : выставлено : Нет связи с транспортным модулем
>>10:29:30 : снято : Нет связи с транспортным модулем
>>10:29:32 : выставлено : Нет связи с транспортным модулем
>>10:29:33 : снято : Нет связи с транспортным модулем
>>10:29:39 : выставлено : Нет связи с транспортным модулем
>>10:29:39 : снято : Нет связи с транспортным модулем
>>10:29:42 : выставлено : Нет связи с транспортным модулем
>>10:29:43 : снято : Нет связи с транспортным модулем
>>10:29:44 : выставлено : Нет связи с транспортным модулем
>>10:29:44 : снято : Нет связи с транспортным модулем
>>10:29:46 : выставлено : Нет связи с транспортным модулем
>>10:29:47 : снято : Нет связи с транспортным модулем
>>10:29:48 : выставлено : Нет связи с транспортным модулем
>>10:29:49 : снято : Нет связи с транспортным модулем
>>10:29:53 : выставлено : Нет связи с транспортным модулем
>>10:29:54 : снято : Нет связи с транспортным модулем
>>10:29:57 : выставлено : Нет связи с транспортным модулем
>>10:29:58 : снято : Нет связи с транспортным модулем
>>10:30:00 : выставлено : Нет связи с транспортным модулем
>>10:30:00 : снято : Нет связи с транспортным модулем
>>10:30:04 : выставлено : Нет связи с транспортным модулем
>>10:30:04 : снято : Нет связи с транспортным модулем
>>10:30:05 : выставлено : Нет связи с транспортным модулем
>>10:30:06 : снято : Нет связи с транспортным модулем
>>10:30:07 : выставлено : Нет связи с транспортным модулем
>>10:30:08 : снято : Нет связи с транспортным модулем
>>10:30:09 : выставлено : Нет связи с транспортным модулем
>>10:30:10 : снято : Нет связи с транспортным модулем
>>10:30:10 : выставлено : Нет связи с транспортным модулем
>>10:30:12 : снято : Нет связи с транспортным модулем
>>10:30:13 : выставлено : Нет связи с транспортным модулем
>>10:30:14 : снято : Нет связи с транспортным модулем
>>10:30:16 : выставлено : Нет связи с транспортным модулем
>>10:30:16 : снято : Нет связи с транспортным модулем
>>10:30:18 : выставлено : Нет связи с транспортным модулем
>>10:30:19 : снято : Нет связи с транспортным модулем
>>10:30:19 : выставлено : Нет связи с транспортным модулем
>>10:30:21 : снято : Нет связи с транспортным модулем
>>10:30:25 : выставлено : Нет связи с транспортным модулем
>>10:30:25 : снято : Нет связи с транспортным модулем
>>10:30:27 : выставлено : Нет связи с транспортным модулем
>>10:30:28 : снято : Нет связи с транспортным модулем
