>>13:42:40 : выставлено : Нет связи с транспортным модулем
>>13:42:41 : снято : Нет связи с транспортным модулем
>>13:43:29 : выставлено : Нет связи с транспортным модулем
>>13:43:30 : снято : Нет связи с транспортным модулем
>>13:43:33 : выставлено : Нет связи с транспортным модулем
>>13:43:33 : снято : Нет связи с транспортным модулем
>>13:43:37 : выставлено : Нет связи с транспортным модулем
>>13:43:38 : снято : Нет связи с транспортным модулем
>>13:43:44 : выставлено : Нет связи с транспортным модулем
>>13:43:44 : снято : Нет связи с транспортным модулем
>>13:43:50 : выставлено : Нет связи с транспортным модулем
>>13:43:51 : снято : Нет связи с транспортным модулем
>>13:44:08 : выставлено : Нет связи с транспортным модулем
>>13:44:09 : снято : Нет связи с транспортным модулем
>>13:44:53 : выставлено : Нет связи с транспортным модулем
>>13:44:54 : снято : Нет связи с транспортным модулем
>>13:45:05 : выставлено : Нет связи с транспортным модулем
>>13:45:06 : снято : Нет связи с транспортным модулем
>>13:45:46 : выставлено : Нет связи с транспортным модулем
>>13:45:48 : снято : Нет связи с транспортным модулем
>>13:46:00 : выставлено : Нет связи с транспортным модулем
>>13:46:01 : снято : Нет связи с транспортным модулем
>>13:46:05 : выставлено : Нет связи с транспортным модулем
>>13:46:06 : снято : Нет связи с транспортным модулем
>>13:46:10 : выставлено : Нет связи с транспортным модулем
>>13:46:11 : снято : Нет связи с транспортным модулем
>>13:46:12 : выставлено : Нет связи с транспортным модулем
>>13:46:13 : снято : Нет связи с транспортным модулем
>>13:46:26 : выставлено : Нет связи с транспортным модулем
>>13:46:27 : снято : Нет связи с транспортным модулем
>>13:46:31 : выставлено : Нет связи с транспортным модулем
>>13:46:31 : снято : Нет связи с транспортным модулем
>>13:46:53 : выставлено : Нет связи с транспортным модулем
>>13:46:54 : снято : Нет связи с транспортным модулем
>>13:46:55 : выставлено : Нет связи с транспортным модулем
>>13:46:56 : снято : Нет связи с транспортным модулем
>>13:47:23 : выставлено : Нет связи с транспортным модулем
>>13:47:24 : снято : Нет связи с транспортным модулем
>>13:47:58 : выставлено : Нет связи с транспортным модулем
>>13:47:59 : снято : Нет связи с транспортным модулем
>>13:48:02 : выставлено : Нет связи с транспортным модулем
>>13:48:03 : снято : Нет связи с транспортным модулем
>>13:48:16 : выставлено : Нет связи с транспортным модулем
>>13:48:17 : снято : Нет связи с транспортным модулем
>>13:48:24 : выставлено : Нет связи с транспортным модулем
>>13:48:25 : снято : Нет связи с транспортным модулем
>>13:48:26 : выставлено : Нет связи с транспортным модулем
>>13:48:27 : снято : Нет связи с транспортным модулем
>>13:48:28 : выставлено : Нет связи с транспортным модулем
>>13:48:29 : снято : Нет связи с транспортным модулем
>>13:48:35 : выставлено : Нет связи с транспортным модулем
>>13:48:36 : снято : Нет связи с транспортным модулем
>>13:49:50 : выставлено : Нет связи с транспортным модулем
>>13:49:51 : снято : Нет связи с транспортным модулем
>>13:49:55 : выставлено : Нет связи с транспортным модулем
>>13:49:56 : снято : Нет связи с транспортным модулем
>>13:50:26 : выставлено : Нет связи с транспортным модулем
>>13:50:27 : снято : Нет связи с транспортным модулем
>>13:50:33 : выставлено : Нет связи с транспортным модулем
>>13:50:34 : снято : Нет связи с транспортным модулем
>>13:50:44 : выставлено : Нет связи с транспортным модулем
>>13:50:44 : снято : Нет связи с транспортным модулем
>>13:50:48 : выставлено : Нет связи с транспортным модулем
>>13:50:49 : снято : Нет связи с транспортным модулем
>>13:52:36 : выставлено : Нет связи с транспортным модулем
>>13:52:37 : снято : Нет связи с транспортным модулем
>>13:56:18 : выставлено : Нет связи с транспортным модулем
>>13:56:19 : снято : Нет связи с транспортным модулем
>>14:24:51 : выставлено : Нет связи с транспортным модулем
>>14:24:52 : снято : Нет связи с транспортным модулем
>>14:27:37 : выставлено : Нет связи с транспортным модулем
>>14:27:38 : снято : Нет связи с транспортным модулем
>>14:31:32 : выставлено : Нет связи с транспортным модулем
>>14:31:33 : снято : Нет связи с транспортным модулем
>>15:50:04 : выставлено : Нет давления в пневмосети
>>15:50:04 : снято : Нет давления в пневмосети
>>15:50:12 : выставлено : Нет давления в пневмосети
>>15:50:13 : снято : Нет давления в пневмосети
>>15:57:10 : выставлено : Нет связи с транспортным модулем
>>15:57:10 : снято : Нет связи с транспортным модулем
>>15:58:25 : выставлено : Нет давления в пневмосети
>>15:58:25 : снято : Нет давления в пневмосети
>>16:09:17 : выставлено : Нет давления в пневмосети
>>16:09:17 : снято : Нет давления в пневмосети
>>16:11:51 : выставлено : Нет давления в пневмосети
>>16:11:52 : снято : Нет давления в пневмосети
>>16:12:39 : выставлено : Нет связи с транспортным модулем
>>16:12:40 : снято : Нет связи с транспортным модулем
>>16:12:50 : выставлено : Нет связи с транспортным модулем
>>16:12:51 : снято : Нет связи с транспортным модулем
>>16:12:59 : выставлено : Нет связи с транспортным модулем
>>16:12:59 : снято : Нет связи с транспортным модулем
>>16:14:57 : выставлено : Нет связи с транспортным модулем
>>16:14:58 : снято : Нет связи с транспортным модулем
>>16:16:48 : выставлено : Нет связи с транспортным модулем
